PARTICIPANT.NUMBER,AGE.IN.YEARS,GENDER,MAXIMUM.EDUCATIONAL.LEVEL,HANDEDNESS,PERCENTAGE.EXPOSED.SPANISH,PERCENTAGE.EXPOSED.BASQUE,PERCENTAGE.EXPOSED.ENGLISH,SELF.PERCEIVED.LEVEL.SPANISH,SELF.PERCEIVED.LEVEL.BASQUE,SELF.PERCEIVED.LEVEL.ENGLISH,INTERVIEW.MARK.SPANISH,INTERVIEW.MARK.BASQUE,INTERVIEW.MARK.ENGLISH,AGE.OF.ACQUISITION.SPANISH,AGE.OF.ACQUISITION.BASQUE,AGE.OF.ACQUISITION.ENGLISH,PICTURE.NAMING.TEST.SPANISH,PICTURE.NAMING.TEST.BASQUE,PICTURE.NAMING.TEST.ENGLISH,LEXTALE.TEST.SPANISH,LEXTALE.TEST.BASQUE,LEXTALE.TEST.ENGLISH
1,22,Female,High School,Right,40,40,20,10,9,5,5,5,3,0,3,5,63,52,33,88.33,89,58.75
2,21,Female,University,Right,70,20,10,10,9,7,5,5,4,0,0,5,65,57,59,85,92,72.5
3,30,Female,Postgraduate,Right,20,70,10,9,10,5,5,5,4,6,0,8,65,65,50,93.33,96,78.75
4,21,Female,University,Right,90,10,0,9,7,3,5,2,2,0,3,3,65,45,39,92.5,88,67.5
5,39,Female,Professional Training,Left,50,40,10,9,8,7,5,5,3,0,0,12,65,64,54,84.17,73,60
6,20,Male,University,Right,100,0,0,8,7,2,5,4,3,0,6,6,65,57,31,90.83,83,61.25
7,23,Male,University,Right,60,30,10,10,10,7,5,5,3,4,0,6,64,64,57,98.33,89,66.25
8,24,Female,University,Left,50,30,10,9,9,7,5,5,4,0,0,8,65,63,56,98.33,98,76.25
9,36,Female,Postgraduate,Right,30,60,10,9,9,7,5,5,4,5,0,11,65,65,60,98.33,96,75
10,25,Male,University,Right,30,60,10,8,10,7,5,5,3,6,0,6,62,65,50,94.17,97,71.25
11,24,Female,High School,Right,70,30,30,10,4,9,5,2,4,0,3,5,65,30,64,95,69,76.25
12,21,Female,University,Right,40,60,0,10,10,6,5,5,4,2,0,4,65,65,54,96.67,98,65
13,24,Female,University,Right,50,50,0,7,8,3,5,5,3,0,0,6,65,61,34,95.83,95,70
14,19,Female,University,Right,60,30,10,9,8,6,5,5,4,0,0,5,64,57,45,99.17,96,73.75
15,21,Female,High School,Right,40,30,20,8,7,6,5,5,4,0,0,5,65,60,47,96.67,94,68.75
16,24,Female,High School,Right,50,40,10,9,9,7,5,5,4,0,0,6,65,62,54,95,91,60
17,23,Female,High School,Right,60,30,10,9,9,7,5,4,3,0,2,5,65,53,45,96.67,88,65
18,19,Male,University,Right,20,80,0,10,10,7,5,5,4,0,0,4,62,63,40,96.67,94,71.25
19,21,Female,High School,Right,60,30,10,10,9,6,5,4,2,0,2,5,65,56,16,74.17,84,46.25
20,20,Female,High School,Right,70,10,20,10,5,4,5,3,2,0,3,5,65,20,23,93.33,72,58.75
21,26,Female,University,Right,20,70,10,9,10,5,5,5,3,6,0,8,62,65,44,95.83,99,61.25
22,25,Male,High School,Right,90,0,10,10,7,8,5,3,2,0,3,9,65,42,35,97.5,75,61.25
23,28,Female,Postgraduate,Right,30,30,20,10,10,7,5,5,3,0,2,10,65,54,44,91.67,91,70
24,26,Male,High School,Right,30,70,0,8,9,6,5,5,2,0,0,10,65,62,25,78.33,100,48.75
25,21,Female,Professional Training,Right,70,10,20,10,6,6,5,3,3,0,2,8,65,41,42,96.67,68,51.25
26,23,Female,University,Right,70,20,10,9,9,5,5,5,2,0,0,8,64,59,27,92.5,87,58.75
27,33,Female,Professional Training,Right,60,40,0,8,7,2,5,5,2,3,0,6,65,61,27,95,82,66.25
28,23,Male,University,Right,30,50,20,8,9,7,5,5,4,5,0,5,65,64,45,95,91,63.75
29,26,Female,University,Right,80,10,10,10,7,8,5,4,3,0,2,4,63,50,38,98.33,87,60
30,23,Female,Postgraduate,Right,60,10,30,10,7,6,5,4,4,0,2,6,62,45,37,95,89,61.25
31,45,Female,Postgraduate,Right,30,70,0,9,9,2,5,5,3,0,0,11,64,64,36,99.17,92,75
32,22,Female,High School,Left,40,50,10,8,10,6,5,5,3,3,0,4,65,64,50,92.5,99,73.75
33,23,Female,Professional Training,Right,50,40,10,8,9,7,5,5,4,0,0,6,65,63,51,94.17,87,55
34,27,Female,Postgraduate,Right,60,40,0,10,8,7,5,4,4,0,0,3,65,38,30,93.33,85,62.5
35,27,Female,University,Right,80,10,10,10,9,6,5,4,3,0,3,7,65,52,44,94.17,84,62.5
36,22,Female,High School,Right,80,10,10,10,4,1,5,2,1,0,3,5,65,31,19,94.17,67,55
37,19,Female,High School,Right,80,10,10,10,6,9,5,4,3,0,3,5,63,42,37,91.67,85,63.75
38,21,Female,High School,Right,70,20,10,10,7,8,5,4,3,0,3,6,65,60,62,95.83,75,65
39,22,Female,High School,Right,20,70,10,10,10,10,5,5,3,0,0,10,64,59,46,91.67,92,63.75
40,25,Female,University,Right,50,10,30,10,7,8,5,3,3,0,3,6,64,42,28,97.5,93,62.5
41,19,Female,High School,Right,60,20,20,10,7,8,5,3,3,0,3,5,65,43,44,90.83,78,62.5
42,20,Male,High School,Right,60,30,10,9,8,8,5,4,4,0,0,5,65,61,61,96.67,88,78.75
43,25,Male,Professional Training,Right,70,10,20,9,7,5,5,4,4,0,0,7,65,41,49,97.5,72,68.75
44,23,Female,Professional Training,Right,60,30,10,10,8,6,5,3,2,0,5,10,64,44,26,92.5,68,68.75
45,24,Female,Professional Training,Right,20,40,40,10,10,10,5,5,5,5,0,0,65,62,63,95,93,72.5
46,43,Female,Professional Training,Right,80,10,10,10,8,9,5,4,4,0,6,6,65,58,56,96.67,93,70
47,22,Female,University,Right,40,40,20,7,8,5,5,5,4,5,0,4,63,60,43,91.67,91,65
48,27,Male,University,Right,90,0,10,10,5,5,5,4,4,0,3,12,64,50,45,93.33,80,97.5
49,20,Female,University,Left,50,50,0,8,8,4,5,5,3,0,0,6,64,57,27,84.17,88,65
50,47,Male,Postgraduate,Right,40,50,10,10,8,5,5,5,4,0,6,3,65,65,50,97.5,100,75
51,30,Female,University,Right,40,40,20,10,10,8,5,5,4,0,3,8,64,56,54,92.5,80,65
52,31,Male,University,Right,80,10,10,8,5,3,5,4,3,0,4,7,65,52,44,100,80,73.75
53,19,Female,University,Right,50,40,10,10,7,6,5,4,3,0,0,5,59,51,34,87.5,90,62.5
54,29,Male,University,Right,70,10,10,10,9,6,5,4,3,0,3,7,64,58,39,95.83,90,73.75
55,22,Female,University,Left,20,70,10,8,9,2,5,5,3,0,0,5,63,65,19,100,96,53.75
56,23,Male,Professional Training,Right,60,40,0,8,8,7,5,5,4,0,0,7,65,54,53,94.17,86,71.25
57,24,Female,University,Right,60,30,10,10,8,7,5,5,4,0,3,3,65,57,44,95.83,86,72.5
58,23,Female,Professional Training,Right,30,60,10,9,10,5,5,5,3,3,0,5,65,65,41,88.33,94,63.75
59,24,Female,University,Right,80,10,10,10,10,10,5,4,3,0,0,10,65,57,28,94.17,76,61.25
60,19,Female,High School,Right,50,40,10,9,9,6,5,4,3,0,2,5,65,59,50,95.83,90,70
61,23,Male,University,Right,60,30,10,9,8,7,5,5,4,0,3,6,65,56,50,96.67,96,71.25
62,22,Female,High School,Right,40,50,10,10,10,6,5,5,2,3,0,3,65,64,35,96.67,93,76.25
63,50,Female,University,Right,50,40,10,10,10,6,5,5,4,6,0,12,65,63,44,93.33,92,71.25
64,22,Male,University,Left,70,10,20,10,7,9,5,3,4,0,4,6,65,25,49,98.33,65,80
65,23,Female,University,Right,10,90,0,9,9,7,5,5,4,0,0,6,65,64,54,97.5,97,70
66,21,Female,University,Right,50,30,10,10,8,6,5,4,3,0,3,5,65,50,34,96.67,85,68.75
67,27,Female,University,Right,20,70,10,8,9,7,5,5,4,5,0,8,64,65,54,97.5,95,61.25
68,28,Female,University,Right,90,10,0,10,7,1,5,3,1,0,3,9,64,55,25,93.33,95,70
69,22,Female,University,Right,40,40,20,8,9,7,5,5,4,0,1,6,65,38,55,91.67,98,60
70,39,Female,University,Right,20,80,0,10,10,3,5,5,2,5,0,7,62,62,30,100,99,57.5
71,25,Female,University,Right,40,30,20,10,9,7,5,4,4,0,2,4,65,55,51,96.67,90,66.25
72,24,Male,Professional Training,Right,50,40,10,7,6,4,5,5,2,0,3,6,65,56,48,85.83,77,57.5
73,31,Male,Postgraduate,Right,60,30,10,10,7,8,5,5,5,0,5,6,65,64,61,100,94,75
74,19,Female,High School,Right,60,30,10,9,8,6,5,4,3,0,3,10,62,41,19,97.5,94,73.75
75,21,Female,University,Right,50,20,20,9,8,8,5,5,4,0,0,8,64,54,54,92.5,94,72.5
76,21,Male,University,Right,30,60,10,10,10,7,5,5,4,2,0,5,65,63,49,98.33,94,72.5
77,50,Female,Postgraduate,Left,40,40,20,8,9,7,5,5,5,0,0,7,65,63,56,98.33,84,75
78,19,Female,High School,Right,40,40,20,9,9,6,5,5,4,0,0,5,65,64,49,95,97,65
79,23,Male,University,Right,70,30,0,10,10,5,5,5,3,0,0,3,65,63,45,96.67,99,62.5
80,21,Female,University,Right,70,30,0,9,8,3,5,4,3,0,3,5,65,45,30,98.33,90,71.25
81,22,Female,Professional Training,Right,50,40,10,9,8,6,5,5,3,0,2,5,63,53,40,99.17,92,73.75
82,29,Male,Professional Training,Right,80,10,10,10,7,5,5,3,3,0,2,6,65,54,53,96.67,81,73.75
83,22,Male,University,Right,70,20,10,10,8,6,5,4,3,0,2,4,65,62,62,99.17,87,73.75
84,28,Male,Postgraduate,Right,70,10,10,10,5,7,5,3,4,0,5,2,65,43,56,99.17,80,71.25
85,20,Female,High School,Right,40,40,10,10,10,7,5,5,4,3,0,5,64,64,50,95,98,68.75
86,21,Female,University,Right,40,10,20,9,8,8,5,5,4,0,3,3,65,56,57,96.67,72,80
87,24,Male,University,Left,50,40,10,10,9,7,5,4,4,0,3,6,65,62,60,97.5,87,63.75
88,23,Female,High School,Right,50,40,10,9,8,7,5,5,4,0,0,6,65,61,55,92.5,96,65
89,20,Female,University,Right,60,30,10,9,8,3,5,5,2,0,1,3,64,63,30,93.33,95,68.75
90,20,Male,High School,Right,60,30,10,8,8,5,5,5,3,1,0,4,65,65,52,90,90,63.75
91,23,Female,High School,Right,50,40,10,9,7,7,5,4,3,0,6,6,64,42,31,96.67,84,55
92,25,Female,Professional Training,Right,80,20,0,10,8,5,5,4,3,0,2,4,65,55,31,91.67,86,61.25
93,31,Female,Professional Training,Right,70,20,10,10,9,8,5,3,3,0,3,6,65,37,28,95,73,75
94,29,Female,Postgraduate,Right,60,10,20,10,9,8,5,5,5,0,3,8,65,59,61,99.17,86,68.75
95,24,Female,High School,Right,50,30,20,10,7,1,5,2,1,0,6,9,65,40,28,91.67,66,62.5
96,24,Female,University,Right,60,30,10,10,8,8,5,4,4,0,3,11,65,53,50,97.5,82,65
97,20,Female,High School,Right,30,60,10,10,10,7,5,5,3,5,0,5,65,63,36,86.67,97,65
98,23,Male,High School,Right,50,30,20,10,9,6,5,5,3,0,3,3,65,53,36,95.83,76,73.75
99,20,Female,University,Right,40,40,20,8,9,7,5,5,4,0,0,5,61,63,55,97.5,96,70
100,23,Female,University,Right,80,10,10,9,8,7,5,5,4,0,3,6,65,55,43,99.17,86,63.75
101,22,Female,University,Left,60,30,10,10,8,5,5,4,3,0,3,9,65,57,40,94.17,68,70
102,22,Male,University,Left,50,30,20,7,6,4,5,4,4,0,2,5,64,50,51,88.33,88,63.75
103,37,Female,University,Right,60,20,10,10,7,5,5,4,3,0,6,6,64,45,25,98.33,88,66.25
104,22,Female,University,Right,50,50,0,10,8,3,5,5,2,0,4,6,65,63,39,90,93,70
105,29,Male,University,Right,70,20,10,9,8,6,5,5,3,0,0,8,65,62,48,97.5,95,63.75
106,24,Female,University,Right,40,50,10,10,10,7,5,5,4,0,0,4,65,65,45,99.17,98,67.5
107,27,Female,University,Right,20,70,10,8,10,7,5,5,3,3,0,8,65,43,65,90.83,87,62.5
108,21,Female,High School,Right,20,70,10,10,10,8,5,5,4,5,5,4,65,61,56,96.67,98,67.5
109,26,Female,University,Right,60,40,0,10,8,4,5,5,3,0,6,8,65,63,35,97.5,90,56.25
110,26,Female,University,Right,50,40,10,10,10,4,5,5,3,0,2,9,65,60,28,95,82,60
111,20,Female,University,Right,50,40,10,9,8,7,5,4,3,0,3,6,65,45,43,96.67,81,61.25
112,21,Female,High School,Right,70,30,30,9,3,8,5,3,4,0,3,7,65,23,45,98.33,89,77.5
113,23,Female,University,Right,70,30,0,10,6,7,5,3,2,0,3,4,65,33,33,94.17,75,87.5
114,21,Female,University,Right,60,30,10,9,9,7,5,5,3,0,0,8,64,60,44,95.83,88,53.75
115,24,Male,University,Right,70,20,10,9,5,6,5,4,4,0,4,6,65,56,54,99.17,77,81.25
116,22,Female,University,Right,50,40,10,10,10,8,5,5,3,0,0,6,64,65,56,95.83,96,65
117,22,Female,University,Right,60,30,10,10,9,7,5,5,4,0,3,6,65,59,54,97.5,92,72.5
118,25,Female,University,Right,40,50,10,10,10,8,5,5,4,3,0,3,65,63,55,99.17,99,61.25
119,23,Female,University,Right,100,0,0,10,7,3,5,2,3,0,3,3,65,30,45,89.17,48,63.75
120,28,Female,Postgraduate,Right,100,0,0,10,6,6,5,3,3,0,3,4,65,32,41,96.67,86,70
121,21,Male,University,Right,50,30,20,8,7,7,5,5,3,0,1,5,64,63,53,48.33,87,55
122,24,Male,University,Right,80,10,10,9,7,6,5,4,4,0,0,10,65,47,54,95.83,85,77.5
123,21,Female,High School,Right,60,30,10,10,8,6,5,4,3,0,2,4,65,59,38,91.67,90,62.5
124,31,Female,University,Right,50,30,20,10,7,5,5,2,3,0,6,12,64,19,36,98.33,58,61.25
125,23,Female,University,Right,50,40,10,8,9,7,5,5,3,0,0,6,55,53,35,87.5,93,67.5
126,30,Female,University,Right,50,30,20,10,9,7,5,3,2,0,0,9,63,42,18,78.33,71,46.25
127,21,Female,University,Right,80,20,0,10,7,1,5,4,3,0,4,6,63,48,49,86.67,93,56.25
128,21,Male,High School,Right,80,10,10,7,7,5,5,4,1,0,5,5,64,48,31,82.5,66,62.5
129,24,Female,University,Right,40,50,10,9,10,7,5,5,4,0,0,5,64,64,47,97.5,95,68.75
130,24,Female,Postgraduate,Left,50,30,10,10,10,10,5,5,5,3,0,8,64,64,48,91.67,96,58.75
131,20,Female,University,Right,50,40,10,10,10,10,5,5,5,0,0,5,65,64,55,88.33,97,66.25
132,25,Female,Professional Training,Right,60,40,0,10,10,5,5,4,2,0,0,7,65,52,23,83.33,66,50
133,22,Female,High School,Right,20,70,10,10,10,7,5,5,4,0,0,7,65,59,54,100,97,73.75
134,26,Male,Professional Training,Right,40,50,10,9,8,5,5,3,3,0,3,5,65,55,48,99.17,70,68.75
135,26,Female,University,Right,90,10,0,9,10,6,5,5,3,0,0,8,65,65,39,95,82,63.75
136,26,Female,Postgraduate,Right,40,20,40,10,8,8,5,5,4,0,1,6,65,56,53,98.33,84,90
137,29,Male,Postgraduate,Right,40,50,10,9,9,7,5,5,4,0,0,8,65,61,59,97.5,98,65
138,21,Male,High School,Right,70,20,10,8,8,6,5,5,4,0,3,6,65,63,53,95.83,80,62.5
139,24,Female,Professional Training,Right,50,50,0,9,8,3,5,5,3,0,0,7,65,61,26,89.17,80,58.75
140,21,Female,University,Left,60,30,10,10,9,6,5,4,3,0,3,6,65,60,47,97.5,91,58.75
141,27,Male,Professional Training,Right,80,10,10,10,6,5,5,5,3,0,3,3,65,58,52,94.17,74,58.75
142,39,Male,University,Right,70,20,10,9,7,5,5,4,4,0,4,12,65,57,53,100,76,66.25
143,28,Female,High School,Right,90,10,0,8,6,1,5,2,1,0,5,7,64,33,11,94.17,77,70
144,25,Female,High School,Right,70,20,10,10,8,5,5,5,3,0,2,6,65,57,44,90.83,84,51.25
145,22,Female,Postgraduate,Right,20,60,20,8,10,7,5,5,5,0,0,4,64,64,57,99.17,94,65
146,22,Male,University,Left,80,10,10,9,8,9,5,5,4,0,3,8,65,59,53,89.17,89,68.75
147,22,Male,University,Right,60,30,10,9,7,3,5,4,2,0,3,8,64,42,33,94.17,83,55
148,24,Female,University,Right,50,20,20,9,8,5,5,3,5,0,0,0,65,38,58,96.67,59,96.25
149,30,Female,University,Right,50,50,0,9,9,3,5,5,2,5,0,11,65,64,45,96.67,86,65
150,21,Male,University,Right,50,30,20,8,8,6,5,5,4,0,2,8,62,65,38,71.67,75,57.5
151,20,Male,University,Right,40,40,20,10,9,7,5,5,3,0,2,4,65,63,41,92.5,92,58.75
152,23,Female,University,Right,20,0,20,10,7,4,5,4,2,0,2,3,65,52,25,89.17,78,70
153,28,Male,University,Right,40,40,20,10,10,8,5,5,5,3,0,5,65,62,62,95.83,96,73.75
154,20,Male,University,Right,60,10,30,9,8,8,5,5,4,0,0,3,65,58,56,93.33,86,76.25
155,19,Female,University,Right,50,40,10,9,10,10,5,5,3,0,2,5,65,55,46,95,94,60
156,21,Female,Professional Training,Right,50,20,30,9,7,8,5,5,5,2,0,4,65,63,65,100,92,90
157,22,Male,University,Right,50,40,10,9,8,1,5,5,2,0,3,6,65,65,35,98.33,92,70
158,39,Male,Professional Training,Right,60,40,0,9,8,4,5,5,2,0,3,12,65,61,36,98.33,92,68.75
159,25,Male,University,Right,60,30,10,9,8,5,5,5,3,0,3,11,65,60,43,94.17,85,62.5
160,24,Male,University,Right,50,40,10,9,10,7,5,5,4,0,0,7,65,65,58,90.83,96,73.75
161,19,Male,High School,Left,50,40,10,9,7,6,5,4,2,0,4,5,65,54,37,90.83,84,58.75
162,27,Female,University,Right,40,20,30,10,10,8,5,4,4,0,0,7,65,64,60,100,93,78.75
163,25,Female,Postgraduate,Right,50,30,20,10,10,7,5,5,4,0,0,12,65,60,56,93.33,92,77.5
164,27,Male,University,Right,40,40,20,10,10,7,5,5,4,0,0,8,65,64,49,98.33,93,63.75
165,27,Male,Postgraduate,Right,80,20,0,10,8,5,5,4,2,0,6,6,65,62,48,93.33,96,66.25
166,23,Male,University,Right,50,10,10,10,10,10,5,4,4,0,6,6,65,57,60,95,90,83.75
167,20,Female,High School,Right,40,60,0,10,9,7,5,4,3,0,2,5,65,46,44,84.17,84,65
168,20,Female,High School,Right,50,40,10,9,9,5,5,5,3,5,0,4,65,65,45,91.67,95,62.5
169,30,Female,University,Right,60,10,10,10,7,7,5,4,4,0,3,6,65,57,61,98.33,83,68.75
170,23,Male,Professional Training,Right,60,20,20,10,8,7,5,4,4,0,2,9,65,41,46,95,72,61.25
171,25,Male,High School,Right,90,0,10,10,10,8,5,3,3,0,2,5,65,49,54,97.5,78,75
172,23,Female,High School,Right,70,20,10,10,8,7,5,4,3,0,3,6,65,50,40,93.33,88,70
173,25,Female,University,Right,30,60,10,8,9,5,5,5,3,0,0,6,64,65,46,95.83,94,56.25
174,22,Female,High School,Right,70,20,10,10,7,5,5,5,4,0,3,6,65,62,48,98.33,97,61.25
175,21,Female,High School,Right,50,40,10,9,8,4,5,5,2,0,1,6,65,57,37,93.33,87,62.5
176,32,Male,University,Right,30,30,30,10,10,8,5,5,5,0,0,10,65,62,57,95,98,83.75
177,21,Female,University,Right,80,10,10,8,7,7,5,4,3,0,2,5,65,57,53,88.33,82,62.5
178,20,Female,University,Left,40,30,20,10,9,6,5,5,2,0,3,5,63,57,27,92.5,89,61.25
179,19,Male,University,Right,70,20,20,10,7,9,5,4,5,0,3,7,65,48,49,75.83,86,51.25
180,33,Female,University,Right,80,20,20,10,2,6,5,2,4,0,6,6,65,20,44,94.17,62,73.75
181,27,Female,University,Right,70,20,10,9,7,3,5,4,3,0,0,3,65,57,57,96.67,75,71.25
182,30,Female,Postgraduate,Right,20,80,0,8,9,5,5,5,3,5,0,10,65,64,42,100,94,68.75
183,20,Female,University,Right,90,0,0,10,3,8,5,2,4,0,3,3,63,20,48,91.67,65,63.75
184,23,Female,Postgraduate,Right,70,20,20,10,5,8,5,2,3,0,5,10,65,31,41,99.17,65,68.75
185,27,Female,University,Right,70,10,20,8,6,6,5,5,4,0,0,6,65,57,48,97.5,88,82.5
186,24,Male,University,Right,60,10,30,8,7,5,5,4,3,0,2,7,65,51,36,80,81,56.25
187,22,Female,University,Right,80,10,10,10,7,7,5,3,4,0,2,6,65,51,53,88.33,77,78.75
188,25,Female,High School,Right,80,10,10,10,4,4,5,2,3,0,3,3,65,41,36,95.83,80,61.25
189,30,Female,Postgraduate,Left,60,30,30,10,1,7,5,2,4,0,3,7,65,33,58,100,75,71.25
190,23,Male,University,Right,60,20,20,10,9,7,5,5,4,0,2,6,64,41,38,88.33,94,70
191,24,Female,University,Right,40,40,10,9,9,9,5,5,3,0,2,9,65,58,34,95,79,67.5
192,30,Female,University,Right,70,30,0,9,8,6,5,5,4,0,3,8,65,62,48,96.67,86,66.25
193,25,Female,University,Right,60,30,10,9,8,6,5,4,3,0,3,6,64,64,47,94.17,89,68.75
194,32,Female,University,Right,90,10,0,9,6,3,5,5,2,0,3,9,65,58,29,100,91,68.75
195,21,Female,University,Right,70,20,10,9,9,7,5,4,3,0,4,6,65,58,45,93.33,93,72.5
196,46,Female,Postgraduate,Right,40,50,10,10,9,7,5,5,4,0,0,12,65,65,59,98.33,95,80
197,23,Female,University,Left,40,50,10,9,9,5,5,5,3,4,0,8,64,62,46,99.17,96,68.75
198,22,Female,University,Right,60,20,20,10,7,6,5,2,3,0,3,5,65,28,43,98.33,57,60
199,20,Male,High School,Right,50,30,20,10,9,8,5,5,5,0,0,4,65,60,59,96.67,93,82.5
200,23,Female,High School,Right,70,20,10,10,8,5,5,5,3,0,3,7,65,58,44,95.83,98,71.25
201,23,Male,High School,Right,50,20,20,10,10,9,5,3,2,0,4,6,65,39,42,97.5,72,67.5
202,24,Female,University,Left,10,90,0,7,9,5,5,5,2,3,0,3,62,65,26,79.17,90,60
203,23,Female,High School,Right,60,30,10,9,8,7,5,5,4,0,2,5,65,58,53,80.83,85,62.5
204,21,Female,High School,Right,60,30,10,10,8,8,5,4,3,0,2,4,64,55,42,88.33,92,62.5
205,21,Female,High School,Right,30,50,20,9,10,7,5,5,3,5,0,5,64,64,45,89.17,97,62.5
206,30,Male,Postgraduate,Right,30,50,10,9,9,7,5,5,4,0,0,8,65,65,62,96.67,95,78.75
207,22,Female,University,Left,30,50,20,10,10,4,5,5,4,2,0,4,65,65,30,92.5,92,55
208,21,Female,University,Right,70,20,10,10,7,6,5,3,2,0,3,6,65,39,37,98.33,80,68.75
209,21,Female,University,Right,80,10,10,10,4,3,5,2,1,0,3,5,65,36,29,96.67,77,57.5
210,22,Female,University,Right,50,50,0,10,9,6,5,5,2,0,3,4,65,62,32,90.83,86,70
211,22,Female,University,Right,50,40,10,10,8,7,5,5,5,1,0,4,65,59,58,96.67,88,66.25
212,21,Female,High School,Right,40,40,40,9,7,8,5,5,4,0,3,6,65,51,56,88.33,77,70
