PARTICIPANT.NUMBER,AGE.IN.YEARS,GENDER,MAXIMUM.EDUCATIONAL.LEVEL,HANDEDNESS,PERCENTAGE.EXPOSED.SPANISH,PERCENTAGE.EXPOSED.BASQUE,PERCENTAGE.EXPOSED.ENGLISH,SELF.PERCEIVED.LEVEL.SPANISH,SELF.PERCEIVED.LEVEL.BASQUE,SELF.PERCEIVED.LEVEL.ENGLISH,INTERVIEW.MARK.SPANISH,INTERVIEW.MARK.BASQUE,INTERVIEW.MARK.ENGLISH,AGE.OF.ACQUISITION.SPANISH,AGE.OF.ACQUISITION.BASQUE,AGE.OF.ACQUISITION.ENGLISH,PICTURE.NAMING.TEST.SPANISH,PICTURE.NAMING.TEST.BASQUE,PICTURE.NAMING.TEST.ENGLISH,LEXTALE.TEST.SPANISH,LEXTALE.TEST.BASQUE,LEXTALE.TEST.ENGLISH
432,20,Female,High School,Right,90,10,0,10,9,7,5,5,4,0,0,6,65,65,60,95.83,94,65
433,31,Female,University,Left,40,40,20,9,7,5,5,5,3,0,0,10,64,57,24,98.33,87,65
434,23,Male,Postgraduate,Right,50,40,10,10,10,9,5,5,4,2,0,3,65,65,64,97.5,99,83.75
435,21,Male,Professional Training,Right,40,30,30,8,8,8,5,4,3,0,2,6,65,59,49,86.67,86,67.5
436,29,Female,Professional Training,Right,90,0,0,8,3,4,5,1,1,0,6,8,65,27,12,95,68,63.75
437,24,Female,University,Right,50,30,10,10,10,5,5,5,1,0,2,6,63,48,21,96.67,89,68.75
438,21,Female,High School,Right,80,10,10,9,8,7,5,5,5,0,3,7,65,57,52,98.33,85,56.25
439,21,Female,University,Right,70,20,20,10,5,5,5,4,3,0,4,4,65,51,48,84.17,76,65
440,23,Female,University,Right,40,50,10,7,9,6,5,5,2,2,0,5,63,63,36,91.67,89,53.75
441,19,Male,University,Right,60,20,20,10,7,7,5,4,2,0,2,5,65,53,52,94.17,78,60
442,21,Female,High School,Right,90,10,10,10,5,8,5,4,4,0,3,3,65,47,52,95,69,57.5
443,19,Female,University,Right,70,20,20,10,3,7,5,2,4,0,6,6,65,26,51,98.33,67,67.5
444,23,Male,University,Right,30,60,10,9,9,3,5,5,2,0,0,5,64,65,39,93.33,95,47.5
445,22,Female,Professional Training,Right,40,60,0,8,9,4,5,4,2,0,0,5,61,56,20,96.67,86,55
446,22,Male,Professional Training,Right,80,20,0,10,8,7,5,4,4,0,3,10,65,56,51,98.33,88,68.75
447,32,Female,University,Right,10,50,50,10,8,10,5,5,5,0,3,6,65,56,64,93.33,89,85
448,41,Male,Postgraduate,Left,70,20,20,10,6,7,5,4,4,0,4,12,65,47,48,91.67,84,67.5
449,24,Female,University,Right,50,40,10,10,10,7,5,5,3,0,2,3,65,63,53,98.33,96,70
450,22,Female,University,Right,40,50,10,8,9,7,5,5,4,3,0,5,64,65,53,100,98,58.75
451,23,Female,University,Right,100,0,0,9,7,3,5,2,2,0,3,3,65,38,18,95,77,61.25
452,21,Female,High School,Right,50,30,20,10,7,5,5,4,2,0,3,3,65,50,27,89.17,81,63.75
453,21,Male,High School,Right,90,10,0,9,6,6,5,3,2,0,0,6,64,38,34,93.33,83,65
454,22,Male,University,Right,70,20,10,10,8,2,5,4,2,0,3,6,62,32,17,90,80,56.25
455,24,Male,University,Right,20,60,20,10,10,9,5,3,3,0,5,7,65,46,37,91.67,78,65
456,36,Female,Professional Training,Right,30,70,0,10,10,4,5,5,3,0,2,12,65,62,27,100,96,67.5
457,44,Male,Professional Training,Right,50,40,10,8,8,4,5,4,2,0,0,10,64,62,52,100,81,72.5
458,22,Female,University,Right,80,10,10,10,7,9,5,4,4,0,3,6,65,45,50,96.67,92,66.25
459,19,Female,University,Right,30,60,10,8,10,6,5,5,2,0,0,5,59,63,26,96.67,93,53.75
460,27,Female,University,Right,50,50,0,10,10,5,5,5,3,0,0,5,65,65,54,99.17,96,65
461,22,Female,University,Right,30,40,20,8,8,7,5,5,3,0,0,8,65,57,35,93.33,89,67.5
462,33,Male,University,Right,60,30,10,9,9,5,5,5,3,5,0,10,62,58,31,95.83,87,62.5
463,21,Female,University,Right,90,10,0,10,9,6,5,5,3,0,2,5,65,60,43,92.5,93,72.5
464,26,Male,University,Right,50,50,0,8,8,2,5,5,3,3,0,3,63,63,44,96.67,95,61.25
465,24,Female,High School,Right,40,50,10,10,10,7,5,5,4,0,0,5,64,64,54,87.5,98,66.25
466,19,Male,High School,Left,70,10,10,10,8,5,5,3,2,0,6,10,65,37,18,96.67,79,61.25
467,45,Female,University,Right,20,60,20,9,9,8,5,5,5,3,0,8,63,65,64,93.33,100,72.5
468,25,Female,University,Right,50,40,10,10,10,7,5,5,5,0,0,5,65,65,61,99.17,95,68.75
469,24,Female,University,Right,60,40,40,10,5,9,5,4,4,0,6,8,65,32,57,90,78,77.5
470,24,Male,University,Right,80,10,10,10,8,8,5,4,3,0,0,6,65,60,46,93.33,94,52.5
471,21,Female,University,Right,60,30,10,10,9,7,5,4,4,0,2,5,65,47,57,97.5,91,65
472,20,Female,High School,Right,80,10,10,10,5,6,5,3,3,0,0,0,65,40,56,93.33,82,62.5
473,25,Female,University,Right,60,30,10,10,9,6,5,5,2,0,3,6,65,58,38,99.17,90,70
474,23,Female,Professional Training,Left,80,10,10,10,6,7,5,5,4,0,2,6,65,55,53,98.33,74,75
475,33,Male,University,Right,90,10,0,9,7,4,5,3,2,0,3,12,65,46,39,96.67,76,66.25
476,35,Female,University,Right,60,30,10,9,9,7,5,5,4,0,0,12,65,63,53,98.33,99,72.5
477,23,Female,Professional Training,Right,20,80,0,9,10,5,5,5,3,6,0,4,61,63,32,96.67,92,88.75
478,24,Female,University,Right,70,20,10,8,7,3,5,5,2,0,0,9,65,61,36,97.5,90,61.25
479,19,Male,University,Right,40,50,10,9,8,7,5,5,5,0,0,6,65,64,56,97.5,86,70
480,48,Male,High School,Right,70,20,20,10,7,9,5,4,5,0,6,10,65,48,63,99.17,89,85
481,24,Male,Professional Training,Right,60,30,10,10,6,3,5,3,2,0,2,12,65,41,34,92.5,68,51.25
482,34,Female,University,Right,60,30,10,9,9,7,5,5,4,0,0,10,65,65,60,100,100,67.5
483,22,Female,University,Left,60,40,0,8,8,6,5,5,3,0,0,6,65,58,41,100,98,68.75
484,21,Female,University,Right,50,30,10,10,8,6,5,5,2,0,0,6,65,50,36,93.33,75,51.25
485,25,Female,University,Right,70,20,10,10,8,7,5,5,3,0,0,7,65,48,44,93.33,83,68.75
486,23,Male,High School,Right,90,10,0,10,7,2,5,4,3,0,2,8,65,41,35,97.5,76,62.5
487,21,Female,University,Right,80,10,10,10,7,5,5,3,3,0,2,7,65,47,38,84.17,59,65
488,31,Female,University,Right,60,40,0,10,10,10,5,3,3,0,6,6,65,34,45,94.17,77,57.5
489,29,Female,University,Left,40,40,10,9,9,5,5,5,3,0,2,7,65,64,49,95,96,63.75
490,19,Female,University,Right,50,40,10,9,7,8,5,4,3,0,3,5,65,47,43,97.5,89,66.25
491,23,Male,University,Right,80,20,0,10,7,9,5,4,4,0,6,7,65,44,42,97.5,77,53.75
492,20,Male,University,Right,40,40,20,9,10,7,5,5,3,3,0,5,65,65,51,96.67,96,87.5
493,29,Male,University,Right,40,40,10,9,9,7,5,5,4,2,0,7,63,60,47,98.33,92,92.5
494,24,Female,University,Right,20,70,10,10,10,5,5,5,2,0,0,9,65,64,26,93.33,91,61.25
495,22,Male,University,Right,50,40,10,9,9,8,5,5,3,0,2,4,65,64,43,98.33,95,76.25
496,22,Male,High School,Right,40,60,0,9,9,4,5,5,3,0,0,5,65,63,45,93.33,90,67.5
497,42,Male,University,Right,70,20,10,10,10,10,5,5,5,0,5,11,65,62,64,100,86,65
498,31,Male,University,Right,70,20,10,10,7,5,5,4,3,0,3,9,65,45,31,91.67,68,63.75
499,29,Male,University,Right,40,50,10,9,10,7,5,5,4,4,0,3,65,64,62,99.17,99,81.25
500,19,Female,University,Right,20,80,0,8,9,7,5,5,4,0,0,7,64,65,57,91.67,97,70
501,24,Male,University,Right,70,20,10,10,9,6,5,4,3,0,3,6,65,46,32,98.33,83,60
502,20,Female,University,Right,40,40,10,10,10,8,5,5,3,0,0,5,65,60,33,93.33,82,72.5
503,26,Female,University,Right,90,10,0,10,6,6,5,4,4,0,0,3,65,53,48,95,65,48.75
504,24,Male,High School,Right,70,10,20,10,10,7,5,5,4,0,0,7,65,62,54,96.67,91,73.75
505,22,Female,University,Right,20,20,50,8,8,8,5,5,5,0,0,7,64,60,62,85,91,66.25
506,28,Male,High School,Right,80,20,20,10,3,5,5,2,5,0,5,7,65,13,57,96.67,68,83.75
507,22,Female,High School,Right,40,50,10,9,9,6,5,5,3,6,0,5,63,64,45,95,100,68.75
508,27,Male,University,Right,70,20,10,10,8,5,5,4,4,0,3,8,65,58,47,97.5,86,65
509,20,Female,University,Right,60,30,10,9,9,8,5,5,4,0,0,5,65,58,45,84.17,91,55
510,22,Male,High School,Right,30,60,10,6,8,3,5,5,4,3,0,5,65,65,48,98.33,98,72.5
511,21,Female,Professional Training,Right,50,50,0,8,5,2,5,3,2,0,3,6,65,43,53,94.17,72,60
512,31,Male,University,Right,40,30,20,9,8,7,5,5,4,6,0,9,65,65,61,95,92,68.75
513,25,Female,University,Right,60,30,10,10,8,7,5,5,3,0,0,7,65,60,45,97.5,82,62.5
514,22,Female,University,Right,60,40,0,7,7,5,5,4,2,0,3,5,65,61,43,86.67,90,58.75
515,20,Female,High School,Right,90,0,0,10,4,2,5,3,3,0,3,6,64,41,47,99.17,87,61.25
516,23,Female,Professional Training,Right,80,10,10,10,8,9,5,2,3,0,3,6,65,20,35,87.5,73,61.25
517,41,Female,University,Right,60,40,0,9,8,6,5,5,4,0,0,7,65,64,53,98.33,90,67.5
518,22,Female,University,Right,50,30,10,9,8,8,5,5,5,0,0,5,65,64,44,97.5,96,66.25
519,25,Female,University,Right,60,40,0,9,9,5,5,5,4,4,0,4,64,61,36,98.33,94,60
520,38,Male,Professional Training,Right,50,30,10,8,7,4,5,4,2,0,1,12,65,54,49,96.67,67,58.75
521,25,Female,High School,Right,70,20,10,7,6,4,5,4,3,0,3,6,65,49,33,76.67,61,55
522,25,Female,University,Right,70,10,10,10,7,8,5,3,4,0,2,3,65,37,51,97.5,62,61.25
523,23,Male,Professional Training,Right,60,30,10,9,8,6,5,3,2,0,0,6,65,45,30,79.17,82,68.75
524,23,Female,Professional Training,Right,70,20,10,10,6,4,5,2,2,0,3,6,64,28,21,84.17,66,57.5
525,36,Male,University,Right,60,30,10,10,8,6,5,5,3,0,0,12,65,62,49,100,99,65
526,23,Male,University,Right,60,30,10,9,8,6,5,4,2,0,2,6,65,52,49,97.5,80,70
527,32,Male,Professional Training,Right,90,10,0,10,7,1,5,2,3,0,6,9,65,40,26,90.83,65,51.25
528,24,Female,High School,Right,60,40,0,10,9,6,5,4,2,0,0,8,64,57,32,96.67,89,73.75
529,23,Female,University,Right,70,10,20,10,7,7,5,4,4,0,3,9,65,47,51,95.83,75,66.25
530,21,Male,University,Right,30,70,0,8,10,8,5,5,4,2,0,5,64,65,54,95.83,96,68.75
531,31,Male,University,Right,90,0,10,9,5,2,5,4,4,0,3,8,65,57,59,99.17,84,58.75
532,34,Female,Postgraduate,Right,10,90,0,9,10,6,5,5,3,3,0,11,65,64,38,99.17,95,66.25
533,28,Female,University,Right,70,30,0,9,8,6,5,5,3,0,3,9,65,62,21,100,95,73.75
534,24,Female,High School,Right,40,10,10,9,8,8,5,5,4,0,1,3,65,64,57,95,93,67.5
535,21,Male,High School,Right,80,10,10,10,7,8,5,4,3,0,2,8,65,44,49,95,93,70
536,20,Female,High School,Right,20,70,10,10,10,6,5,5,4,0,2,5,65,57,43,95,97,72.5
537,23,Male,University,Right,60,30,10,10,9,9,5,5,5,0,0,6,65,63,61,97.5,94,71.25
538,25,Female,University,Right,40,40,20,9,9,8,5,5,4,0,0,3,65,55,50,95,80,68.75
539,27,Female,University,Right,30,60,10,8,9,5,5,5,4,0,0,6,65,64,50,99.17,97,66.25
540,27,Female,University,Right,60,30,10,9,8,4,5,5,2,0,5,12,65,62,29,95,97,58.75
541,24,Male,University,Right,50,30,20,9,7,6,5,5,4,0,2,10,65,57,54,89.17,89,73.75
542,22,Female,University,Right,100,0,0,9,7,5,5,4,3,0,3,3,65,40,25,88.33,85,56.25
543,24,Male,Professional Training,Right,80,20,0,10,7,6,5,4,2,0,3,6,65,57,56,96.67,87,68.75
544,28,Male,University,Right,60,20,20,9,7,7,5,5,4,0,0,0,65,65,63,96.67,94,81.25
545,22,Female,University,Right,70,30,0,10,9,7,5,4,3,0,2,3,65,54,45,95,99,63.75
546,21,Female,University,Right,70,30,0,10,9,6,5,5,3,0,0,6,65,61,44,98.33,89,67.5
547,19,Female,High School,Right,60,30,10,8,7,7,5,4,4,0,2,4,64,57,52,94.17,87,65
548,34,Male,Professional Training,Right,60,30,10,9,6,3,5,4,3,4,0,5,65,43,32,100,79,60
549,33,Male,Professional Training,Right,80,20,0,10,8,8,5,4,4,0,3,11,65,51,54,97.5,88,73.75
550,21,Female,High School,Right,70,20,10,9,6,5,5,4,3,0,0,4,65,61,34,95,85,80
551,22,Female,University,Right,80,10,10,10,7,8,5,5,5,0,0,5,65,62,57,90.83,95,68.75
552,19,Male,University,Left,70,20,10,9,8,6,5,4,3,0,3,5,65,41,33,95.83,87,61.25
553,22,Female,High School,Right,40,50,10,9,8,6,5,5,3,0,2,6,65,59,42,95,92,66.25
554,24,Female,University,Right,60,40,0,9,9,1,5,4,1,0,2,8,65,46,8,90,67,57.5
555,22,Male,Postgraduate,Right,60,30,10,9,7,4,5,4,3,0,0,0,65,53,45,95.83,83,63.75
556,26,Female,Postgraduate,Right,40,40,20,10,8,8,5,4,3,0,2,6,65,47,43,95,76,58.75
557,22,Male,Professional Training,Right,70,20,10,9,7,8,5,4,4,0,3,6,65,53,57,98.33,89,71.25
558,26,Male,Professional Training,Right,60,20,10,10,8,5,5,3,2,0,6,9,65,42,22,86.67,60,46.25
559,32,Female,Postgraduate,Right,80,10,10,10,8,8,5,5,4,0,3,10,65,58,55,99.17,95,82.5
560,22,Male,University,Right,70,20,10,10,9,7,5,4,4,0,3,8,65,44,43,95.83,86,61.25
561,24,Female,University,Left,80,20,0,9,6,4,5,4,3,0,3,4,65,45,33,95,81,61.25
562,34,Female,High School,Right,100,0,0,8,6,3,5,4,1,0,0,11,65,52,19,95,87,56.25
563,19,Male,University,Right,20,70,10,7,7,6,5,5,3,6,0,7,60,61,40,93.33,94,70
564,22,Female,High School,Right,50,40,10,10,9,5,5,5,3,0,2,6,65,59,32,96.67,97,68.75
565,28,Male,Professional Training,Right,80,10,10,9,8,7,5,4,4,0,3,8,65,56,47,95.83,90,65
566,21,Female,University,Right,80,10,10,9,5,7,5,2,3,0,3,3,65,18,48,96.67,59,65
567,22,Female,University,Right,30,50,20,10,10,8,5,5,4,3,0,5,65,65,57,98.33,100,86.25
568,24,Female,Postgraduate,Right,50,40,10,7,7,6,5,4,3,0,6,6,65,53,43,100,88,88.75
569,34,Female,Postgraduate,Right,20,60,10,8,9,6,5,5,3,5,0,6,65,65,52,97.5,99,60
570,21,Male,University,Right,50,40,10,9,8,6,5,4,3,0,2,3,65,60,53,98.33,91,63.75
571,20,Female,High School,Right,20,70,10,9,10,8,5,5,4,0,0,4,64,63,55,82.5,88,61.25
572,23,Female,University,Right,70,30,30,10,6,7,5,3,4,0,6,10,64,24,36,87.5,66,56.25
573,22,Male,University,Right,50,40,10,10,8,6,5,4,4,0,3,3,65,40,51,98.33,80,71.25
574,21,Female,Professional Training,Left,50,40,10,10,8,6,5,4,3,0,3,5,61,46,18,92.5,80,62.5
575,20,Female,University,Right,50,40,10,10,9,7,5,5,4,0,2,3,64,60,47,96.67,95,60
576,22,Female,High School,Right,60,30,10,10,9,8,5,5,4,0,2,5,65,64,54,98.33,96,66.25
577,19,Female,University,Right,40,40,20,8,8,7,5,5,4,0,0,8,64,60,46,80.83,95,47.5
578,22,Male,University,Right,40,60,0,7,10,5,5,5,3,5,0,6,63,63,35,90,96,61.25
579,24,Male,University,Right,70,20,10,10,9,7,5,5,4,0,3,4,64,55,52,92.5,92,61.25
580,22,Male,University,Right,70,20,20,8,5,6,5,3,3,0,4,5,65,35,47,95,62,85
581,21,Male,University,Right,80,10,10,9,6,9,5,4,4,0,3,3,65,31,48,95,81,57.5
582,23,Female,High School,Left,20,70,10,10,10,7,5,5,3,0,0,6,65,62,31,95.83,86,66.25
583,25,Female,Professional Training,Left,80,10,10,9,5,3,5,4,4,0,2,6,65,52,48,98.33,89,61.25
584,23,Male,High School,Right,50,40,10,10,10,6,5,5,2,0,0,6,65,58,41,93.33,78,57.5
585,23,Male,University,Right,50,50,0,9,9,1,5,5,3,0,0,10,65,59,48,94.17,87,63.75
586,36,Male,Professional Training,Right,50,20,30,9,9,7,5,5,4,5,0,11,64,59,59,96.67,82,73.75
587,22,Female,University,Right,60,30,10,8,7,6,5,5,4,0,0,4,65,60,51,95.83,95,66.25
588,24,Male,Postgraduate,Right,40,40,20,10,10,7,5,5,4,1,0,8,64,65,60,100,93,76.25
589,23,Male,High School,Right,30,60,10,8,9,5,5,5,4,0,0,11,63,65,56,96.67,98,66.25
590,25,Female,University,Right,60,30,30,10,5,7,5,3,4,0,3,3,65,47,56,96.67,73,65
591,23,Female,University,Right,40,40,40,10,10,10,5,4,4,0,2,12,65,40,50,100,85,85
592,27,Female,Postgraduate,Right,20,20,60,10,10,7,5,5,4,1,0,8,65,64,60,95.83,94,62.5
593,28,Male,Professional Training,Right,60,20,20,8,6,6,5,4,2,0,6,10,65,41,28,93.33,65,62.5
594,24,Male,High School,Right,80,10,10,9,5,7,5,2,4,0,3,3,65,43,58,88.33,70,71.25
595,21,Female,University,Right,80,20,0,10,8,5,5,5,3,0,0,5,63,54,39,93.33,90,68.75
596,26,Female,High School,Right,40,50,10,10,10,9,5,5,4,3,0,6,65,61,60,94.17,95,72.5
597,25,Female,High School,Right,80,10,10,10,10,8,5,5,5,0,2,7,65,50,58,84.17,92,67.5
598,21,Male,University,Right,50,50,0,8,8,6,5,5,4,0,0,3,62,56,52,95.83,94,76.25
599,18,Female,Professional Training,Right,60,30,10,10,7,6,5,4,4,0,3,5,63,51,42,85.83,81,62.5
600,24,Male,University,Left,80,10,10,9,6,7,5,3,4,0,0,0,65,26,52,95,75,75
601,18,Male,University,Right,60,20,20,10,7,8,5,3,3,0,3,10,65,23,32,85,70,62.5
602,26,Male,University,Right,70,20,10,10,10,8,5,5,3,0,3,9,65,62,57,94.17,86,67.5
603,25,Female,University,Right,70,20,20,10,6,8,5,4,4,0,2,6,65,57,53,100,89,60
604,31,Female,Postgraduate,Right,40,50,10,9,10,8,5,5,4,3,0,8,64,65,59,98.33,96,71.25
605,23,Female,University,Right,50,30,10,10,9,7,5,5,3,0,0,6,65,60,44,91.67,66,57.5
606,23,Male,Postgraduate,Right,80,10,10,10,8,6,5,4,3,0,2,6,65,56,63,100,78,70
607,23,Female,University,Right,50,40,10,9,8,4,5,5,3,0,3,6,65,46,40,95,84,56.25
608,21,Female,High School,Right,50,40,10,8,7,5,5,5,3,0,2,5,65,57,46,98.33,94,72.5
609,18,Female,University,Right,40,50,10,8,8,5,5,5,3,0,3,5,64,60,48,100,94,65
610,27,Female,University,Right,80,10,10,8,6,3,5,4,1,0,5,8,62,41,14,93.33,83,65
611,25,Female,University,Right,40,30,20,9,7,5,5,5,3,0,2,8,65,54,49,99.17,91,68.75
612,25,Female,Postgraduate,Right,40,50,10,10,10,8,5,5,5,0,2,6,65,58,50,96.67,97,72.5
613,24,Female,University,Right,80,10,10,10,3,2,5,2,2,0,3,3,65,30,29,98.33,61,61.25
614,29,Female,Postgraduate,Right,30,60,10,10,10,7,5,5,3,0,0,4,65,65,54,96.67,98,68.75
615,36,Female,Postgraduate,Right,10,70,10,9,9,8,5,5,5,3,0,12,65,65,65,98.33,97,91.25
616,24,Female,University,Right,60,30,10,8,6,2,5,5,3,0,3,10,65,57,40,97.5,94,67.5
617,20,Female,University,Right,60,30,10,7,8,6,5,4,3,0,0,6,61,46,37,93.33,88,67.5
618,21,Male,High School,Right,60,30,30,10,9,7,5,3,5,0,4,6,65,36,56,97.5,91,70
619,21,Female,High School,Right,40,50,10,10,10,9,5,5,4,0,1,6,65,61,45,91.67,82,56.25
620,43,Male,Postgraduate,Right,20,70,10,9,9,8,5,5,5,3,0,9,65,64,65,100,90,95
621,20,Female,University,Right,20,80,0,8,10,6,5,5,4,2,0,5,62,64,36,95.83,95,56.25
622,28,Male,Professional Training,Right,70,30,0,8,7,3,5,4,2,0,0,8,65,61,35,90,76,58.75
623,24,Female,University,Right,50,40,10,10,10,7,5,5,3,0,2,6,65,61,43,97.5,99,67.5
624,37,Female,University,Right,70,30,0,8,7,5,5,3,2,0,3,10,64,26,29,96.67,84,58.75
625,25,Female,University,Right,90,10,0,10,5,3,5,3,2,0,3,3,65,47,36,98.33,86,87.5
626,24,Female,University,Right,80,20,0,10,5,2,5,3,2,0,6,6,65,33,18,98.33,75,66.25
627,25,Male,University,Right,50,40,10,10,10,6,5,5,3,0,0,5,65,54,25,72.5,65,56.25
628,24,Male,Professional Training,Right,80,10,10,9,3,5,5,3,3,0,3,5,65,43,52,95.83,82,68.75
629,31,Female,Professional Training,Right,60,20,10,10,7,5,5,4,2,0,4,4,63,50,37,98.33,85,56.25
630,20,Female,University,Right,40,20,20,9,8,8,5,5,4,0,3,5,64,58,46,91.67,87,77.5
631,20,Female,University,Right,60,40,0,9,8,7,5,4,3,0,2,3,65,63,49,96.67,94,72.5
632,29,Female,University,Right,90,10,0,10,5,5,5,2,2,0,3,6,64,24,20,95,65,62.5
633,22,Female,University,Right,30,60,10,7,9,7,5,5,3,3,0,5,64,63,40,90.83,89,63.75
634,41,Female,University,Right,60,40,0,8,10,2,5,5,4,0,0,10,64,64,56,98.33,90,67.5
635,28,Female,University,Right,20,70,10,8,10,4,5,5,3,3,0,6,65,65,43,96.67,95,57.5
636,20,Male,University,Right,40,60,0,8,7,6,5,5,3,0,1,6,65,59,44,80,73,47.5
637,22,Male,University,Left,40,50,10,9,10,8,5,5,3,4,0,4,65,64,57,89.17,86,72.5
638,46,Female,University,Right,40,40,10,10,10,9,5,5,4,4,0,11,65,60,65,98.33,84,68.75
639,21,Female,Professional Training,Left,90,10,0,10,6,4,5,4,2,0,3,6,64,34,19,86.67,82,50
640,42,Female,Postgraduate,Left,40,60,0,8,8,4,5,5,4,2,0,12,65,65,45,100,94,65
641,25,Female,Postgraduate,Right,30,60,10,9,9,6,5,5,5,4,0,11,64,65,49,99.17,96,68.75
642,28,Female,Professional Training,Right,70,20,10,10,7,5,5,4,2,0,3,9,65,37,27,100,86,67.5
643,30,Male,University,Right,60,30,10,10,7,5,5,4,3,0,3,6,65,53,41,94.17,77,60
644,22,Female,University,Right,70,30,0,10,7,8,5,4,3,0,3,3,65,55,35,91.67,91,60
645,21,Female,University,Right,50,40,10,10,9,7,5,5,4,0,2,6,65,65,53,84.17,86,68.75
646,37,Female,High School,Right,40,60,0,10,10,2,5,5,1,6,0,9,65,63,30,95,90,62.5
647,33,Female,Professional Training,Right,80,20,0,9,9,5,5,5,3,0,2,8,65,64,30,91.67,95,41.25
648,22,Female,University,Right,30,60,10,7,8,5,5,5,3,3,0,5,63,62,46,77.5,91,42.5
649,24,Female,Professional Training,Right,70,10,10,10,6,5,5,3,3,0,6,8,64,48,30,95,49,61.25
650,21,Female,University,Left,60,30,10,9,7,7,5,4,4,0,0,7,60,49,42,91.67,81,68.75